SampleID,Diet,Week
SampleC43,Diet3,5
SampleC44,Diet3,6
SampleD1,Diet4,7
SampleD2,Diet4,8
SampleD3,Diet4,9
SampleD4,Diet4,7
SampleD5,Diet4,8
SampleD6,Diet4,9
SampleD7,Diet4,7
SampleD8,Diet4,8
SampleD9,Diet4,9
SampleD10,Diet4,1
SampleD11,Diet4,10
SampleD12,Diet4,11
SampleD13,Diet4,12
SampleD14,Diet4,13
SampleD15,Diet4,14
SampleD16,Diet4,15
SampleD17,Diet4,16
SampleD18,Diet4,2
SampleD19,Diet4,3
SampleD20,Diet4,4
SampleD21,Diet4,5
SampleD22,Diet4,6
SampleD23,Diet4,7
SampleD24,Diet4,8
SampleD25,Diet4,9
SampleD26,Diet4,7
SampleD27,Diet4,8
SampleD28,Diet4,9
SampleD29,Diet4,7
SampleD30,Diet4,8
SampleD31,Diet4,9
SampleD32,Diet4,1
SampleD33,Diet4,10
SampleD34,Diet4,11
SampleD35,Diet4,12
SampleD36,Diet4,13
SampleD37,Diet4,14
SampleD38,Diet4,15
SampleD39,Diet4,16
SampleD40,Diet4,2
SampleD41,Diet4,3
SampleD42,Diet4,4
SampleD43,Diet4,5
SampleD44,Diet4,6
